grid_x,grid_y,predicted_sinr
0,0,27.487987045759912
1,0,27.488007731283044
2,0,27.48811651397433
3,0,27.48854816981537
4,0,27.489828999186418
5,0,27.492627675571843
6,0,27.497002381431457
7,0,27.50158697961815
8,0,27.5041881852039
9,0,27.503795413582655
10,0,27.50127317119343
11,0,27.497314821905125
12,0,27.49087121724475
13,0,27.481286141823762
14,0,27.47163397918595
15,0,27.467990769681435
16,0,27.474295076788575
17,0,27.48828815802803
18,0,27.50273862537497
19,0,27.51055939423886
20,0,27.509522576244944
21,0,27.502899341844742
22,0,27.495778859855168
23,0,27.491096342537368
24,0,27.488937259672863
25,0,27.488208122389267
26,0,27.48802428793405
27,0,27.48798933835318
28,0,27.487984301986597
29,0,27.48798375150878
30,0,27.48798370633247
31,0,27.48798370368943
32,0,27.487983703608315
33,0,27.487983703612297
34,0,27.48798370361319
35,0,27.487983703613274
36,0,27.48798370361328
37,0,27.48798370361328
38,0,27.48798370361328
39,0,27.48798370361328
0,1,27.487994629586566
1,1,27.48806228011566
2,1,27.48841822313687
3,1,27.489831642075117
4,1,27.49403039783956
5,1,27.503224346662424
6,1,27.517666706025324
7,1,27.53303632770184
8,1,27.54244638707106
9,1,27.54299209612955
10,1,27.537773309067752
11,1,27.528905124080694
12,1,27.51243631938568
13,1,27.485459903078826
14,1,27.456525729375645
15,1,27.44307236724822
16,1,27.45636034024197
17,1,27.49052788440085
18,1,27.526513455991957
19,1,27.545865583775313
20,1,27.542856914753894
21,1,27.525843917869352
22,1,27.507719696646625
23,1,27.495849454799227
24,1,27.490389653100685
25,1,27.488548931517563
26,1,27.488085512911322
27,1,27.487997647738624
28,1,27.487985108144116
29,1,27.487983792294617
30,1,27.487983702869887
31,1,27.48798370242366
32,1,27.487983703407615
33,1,27.487983703589865
34,1,27.487983703611224
35,1,27.487983703613118
36,1,27.487983703613267
37,1,27.487983703613278
38,1,27.48798370361328
39,1,27.48798370361328
0,2,27.48801121825629
1,2,27.48818176853235
2,2,27.48908034696051
3,2,27.49265532189937
4,2,27.503305057053936
5,2,27.52673161853797
6,2,27.563863350159888
7,2,27.60431037331677
8,2,27.63147066409343
9,2,27.63891961939631
10,2,27.634799135138216
11,2,27.623196105413086
12,2,27.591634253052295
13,2,27.53054963828435
14,2,27.459577905383743
15,2,27.419903767393595
16,2,27.43791890815722
17,2,27.501460710424585
18,2,27.570279381241345
19,2,27.606323473292964
20,2,27.59832703205313
21,2,27.563369279422787
22,2,27.527011376760196
23,2,27.503456832010528
24,2,27.492692774688553
25,2,27.489079959133274
26,2,27.488175421649796
27,2,27.488006976488073
28,2,27.487984820208478
29,2,27.487983370665596
30,2,27.48798358197185
31,2,27.487983679414373
32,2,27.487983700139665
33,2,27.487983703227094
34,2,27.48798370357664
35,2,27.487983703609487
36,2,27.48798370361275
37,2,27.4879837036132
38,2,27.48798370361327
39,2,27.48798370361328
0,3,27.488037278175646
1,3,27.488370386966782
2,3,27.490132094343437
3,3,27.497177112043712
4,3,27.518315834574565
5,3,27.56531975806299
6,3,27.641193417615582
7,3,27.727055039375898
8,3,27.791517772764855
9,3,27.822514524311334
10,3,27.835298067086914
11,3,27.834272606250746
12,3,27.78877630835257
13,3,27.67548777507104
14,3,27.532243355305873
15,3,27.43998810388606
16,3,27.45006892900462
17,3,27.541309010228904
18,3,27.643151268732073
19,3,27.69174376544125
20,3,27.670746235480152
21,3,27.60988269955376
22,3,27.550020261559286
23,3,27.512229954948268
24,3,27.495213672137332
25,3,27.489566519129706
26,3,27.488192284140226
27,3,27.487971439270517
28,3,27.487965649079374
29,3,27.48797704136548
30,3,27.487982056595015
31,3,27.4879834001022
32,3,27.487983660384934
33,3,27.487983698561255
34,3,27.487983703029634
35,3,27.487983703524907
36,3,27.487983703596868
37,3,27.487983703610475
38,3,27.487983703612894
39,3,27.48798370361324
0,4,27.488065201275493
1,4,27.48857623002281
2,4,27.491306636239266
3,4,27.502373988224317
4,4,27.53619129258261
5,4,27.61331501613269
6,4,27.742575896851125
7,4,27.898319143258462
8,4,28.030810948170597
9,4,28.115510440778056
10,4,28.17023909643112
11,4,28.197212628202582
12,4,28.142614103800824
13,4,27.965346198672744
14,4,27.726475146728358
15,4,27.558487504017638
16,4,27.54487393693356
17,4,27.65226544620582
18,4,27.77218494340608
19,4,27.813176840002058
20,4,27.760003300218735
21,4,27.6612493945994
22,4,27.573139069286352
23,4,27.51996782435108
24,4,27.49652877138711
25,4,27.48896046619293
26,4,27.48743456424477
27,4,27.487519350755566
28,4,27.487776920397756
29,4,27.487918174250478
30,4,27.487968060763375
31,4,27.487980828176525
32,4,27.487983281130326
33,4,27.48798364711194
34,4,27.48798369446855
35,4,27.487983701657306
36,4,27.487983703193787
37,4,27.487983703538887
38,4,27.487983703602975
39,4,27.48798370361218
0,5,27.48808322859267
1,5,27.488720979336893
2,5,27.49221571916671
3,5,27.50684174272442
4,5,27.55337890223714
5,5,27.665117801410457
6,5,27.865244875081046
7,5,28.128331078248884
8,5,28.378595829032665
9,5,28.554956942042857
10,5,28.659486962026563
11,5,28.699780721624936
12,5,28.62071621968638
13,5,28.374356702458883
14,5,28.041140313917428
15,5,27.79991581074987
16,5,27.764775885315217
17,5,27.885461306202153
18,5,28.00739444169357
19,5,28.011026249604836
20,5,27.893424662926463
21,5,27.733061111025336
22,5,27.602763774359765
23,5,27.526060222440524
24,5,27.491788044790166
25,5,27.481481355194603
26,5,27.481543474284667
27,5,27.484281954585658
28,5,27.486454507163057
29,5,27.487508125824863
30,5,27.487870337261537
31,5,27.48796247339812
32,5,27.48798029938103
33,5,27.48798310722323
34,5,27.487983562025367
35,5,27.487983666310186
36,5,27.487983695124065
37,5,27.48798370208768
38,5,27.487983703401323
39,5,27.48798370359062
0,6,27.488087462956067
1,6,27.488784376582377
2,6,27.492802955572678
3,6,27.510645977600436
4,6,27.571373858242133
5,6,27.728564772183468
6,6,28.03405635892811
7,6,28.470658554287375
8,6,28.91421438397011
9,6,29.215629497850095
10,6,29.32941114097258
11,6,29.29924557969052
12,6,29.133025354335768
13,6,28.807565349953318
14,6,28.4047297710559
15,6,28.12103950862493
16,6,28.08996628290931
17,6,28.241566359973035
18,6,28.368854047073796
19,6,28.321145123649615
20,6,28.113593709340087
21,6,27.860772378612207
22,6,27.654093166050316
23,6,27.521239076414417
24,6,27.45520257001936
25,6,27.438754693948397
26,6,27.449681891064575
27,6,27.46706411110128
28,6,27.47946258137432
29,6,27.485339680623948
30,6,27.48734684541638
31,6,27.487857780336295
32,6,27.487959099859776
33,6,27.487977400871475
34,6,27.487981721690733
35,6,27.487983129849173
36,6,27.48798357011513
37,6,27.487983679508268
38,6,27.48798370026092
39,6,27.487983703254745
0,7,27.48808544507604
1,7,27.488820629145447
2,7,27.493367544851644
3,7,27.515052826472523
4,7,27.59427108365381
5,7,27.813705150899263
6,7,28.267387350480814
7,7,28.949043201846294
8,7,29.65497578570234
9,7,30.090844275217655
10,7,30.13585662585642
11,7,29.913827613282994
12,7,29.573254464354896
13,7,29.150185580833483
14,7,28.70172701325892
15,7,28.403737096501725
16,7,28.39708748064733
17,7,28.600574714604917
18,7,28.763534328351106
19,7,28.70154862289044
20,7,28.42877655648728
21,7,28.068028036872533
22,7,27.719309870114007
23,7,27.44317644814249
24,7,27.286568757585698
25,7,27.260949079718177
26,7,27.32085512900987
27,7,27.398178167131828
28,7,27.45156843173412
29,7,27.476630660509073
30,7,27.48515900335629
31,7,27.4873448794584
32,7,27.48780888599415
33,7,27.487920393675413
34,7,27.487960704099848
35,7,27.48797679654875
36,7,27.487982083611442
37,7,27.487983410594946
38,7,27.487983662846567
39,7,27.487983699252833
0,8,27.488083470665195
1,8,27.488856693498512
2,8,27.4939259328576
3,8,27.519393057252127
4,8,27.61670972103117
5,8,27.896573556646075
6,8,28.49222697140724
7,8,29.402780016810976
8,8,30.338866232965092
9,8,30.85966309095024
10,8,30.778309805160077
11,8,30.317272536899576
12,8,29.78183376242508
13,8,29.266876423855255
14,8,28.787228494529728
