nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7100,3.0704,5.2433,7.5314,9.2567,8.4921,6.9118,5.1926,3.6942,2.3076,1.5260,1.1318,0.9849,1.0050,1.1492,1.3443,1.6023,1.8713,2.1370,2.3313,2.5484,2.8515,3.1182,3.3061,3.4555,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9945,3.3962,5.4277,7.2792,8.4445,7.0500,5.4246,3.9701,2.8669,1.9154,1.3965,1.1536,1.0088,1.0498,1.2058,1.4141,1.6823,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7394,2.4562,3.6395,5.1007,6.4885,6.9333,5.5345,4.1816,3.2215,2.3697,1.7073,1.3937,1.1698,1.0445,1.0923,1.2595,1.4815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,0.9593,nan,1.7523,2.3053,2.9561,3.6275,4.5387,5.4640,5.4206,4.4152,3.4671,2.6699,2.0547,1.6735,1.3808,1.1636,1.0645,1.1279,1.2893,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3394,1.8056,2.3588,2.9115,3.1444,3.5595,4.2730,4.6618,4.5354,3.6979,2.9862,2.3977,2.0215,1.6644,1.3751,1.1524,1.0740,1.1560,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3604,1.8639,2.4186,3.0518,3.1371,3.2797,3.5322,3.8731,4.0708,3.8612,3.2610,2.8044,2.3708,1.9998,1.6581,1.3695,1.1508,1.0954,1.1872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.0657,0.1198,0.2066,nan,nan,0.6677,0.9544,1.3817,1.9069,2.5075,3.0666,3.2061,3.2951,3.4451,3.5700,3.6579,3.7004,3.4719,3.2075,2.7645,2.3366,1.9653,1.6305,1.3598,1.1545,1.1174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.0653,0.1198,0.2028,0.3131,0.4602,0.6597,0.9494,1.3850,1.9379,2.5856,3.0472,3.2586,3.3362,3.5297,3.6351,3.6916,3.7110,3.6702,3.5234,3.2065,2.7294,2.3075,1.9312,1.6101,1.3519,1.1624,1.1445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.0648,0.1179,0.1997,0.3064,0.4521,0.6536,0.9467,1.3794,1.9691,2.6254,3.0917,3.2764,3.3969,3.5692,3.7662,3.8065,3.8156,3.8237,3.7562,3.5896,3.1620,2.6962,2.2749,1.8987,1.5950,1.3505,1.1676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.0646,0.1164,0.1966,0.3006,0.4439,0.6484,0.9441,1.3707,1.9736,2.6168,3.1237,3.2790,3.4408,3.6017,3.8692,3.9904,3.9504,3.9471,3.9485,3.8450,3.6116,3.1222,2.6626,2.2366,1.8674,1.5891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,0.1152,0.1925,nan,0.4362,0.6447,0.9418,nan,nan,2.6085,3.1342,3.3282,3.4764,3.6384,3.8778,4.1389,4.1544,4.0993,4.0873,4.0841,3.9441,3.5711,3.0871,2.6186,2.2010,1.8437,1.5858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5809,3.1261,3.3888,3.4921,3.6824,3.8989,4.2080,4.3699,4.3200,4.2694,4.2377,4.2246,4.0310,3.5414,3.0452,2.5846,2.1721,1.8347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,0.9348,nan,nan,2.5515,3.1223,3.4023,3.5875,3.7263,3.9068,4.2163,4.5702,4.5577,4.5053,4.4542,4.3974,4.3603,4.0221,3.5126,3.0018,2.5510,2.1479,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,0.9266,1.3400,1.9385,2.5235,3.1141,3.4134,3.6584,3.7633,3.9563,4.2015,4.5894,4.8060,4.7549,4.7100,4.6407,4.5529,4.4911,4.0101,3.4750,nan,nan,nan,1.8239,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9278,2.4999,3.0950,3.4155,3.7190,3.8798,4.0033,4.2141,4.5688,5.0025,5.0189,4.9727,4.9110,4.8341,4.7251,4.4802,3.9800,3.4378,2.9416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0695,3.4094,3.7445,3.9836,4.0676,4.2413,4.5378,5.0184,5.2922,5.2500,5.1970,5.1166,5.0184,4.9075,4.4447,3.9445,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8770,nan,3.0437,3.4031,3.7551,4.0670,4.1943,4.2958,4.5306,4.9761,5.4453,5.5300,5.4815,5.4059,5.3163,5.1986,4.9173,4.4027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0181,3.3977,3.7560,4.1362,4.3116,4.3860,4.5359,4.9203,5.4412,5.8052,5.7774,5.7106,nan,5.5122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9916,3.3941,3.7539,4.1732,4.4161,4.5363,4.5904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.3911,3.7517,nan,4.5087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.7497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
