x,y
19,14
46,14
73,14
100,14
127,14
154,14
181,14
209,14
236,14
263,14
290,14
317,14
344,14
372,14
399,14
426,14
453,14
480,14
507,14
534,14
562,14
589,14
616,14
643,14
670,14
697,14
725,14
752,14
779,14
806,14
833,14
860,14
887,14
915,14
942,14
969,14
996,14
1023,14
1050,14
1078,14
19,40
46,40
73,40
100,40
127,40
154,40
181,40
209,40
236,40
263,40
290,40
317,40
344,40
372,40
399,40
426,40
453,40
480,40
507,40
534,40
562,40
589,40
616,40
643,40
670,40
697,40
725,40
752,40
779,40
806,40
833,40
860,40
887,40
915,40
942,40
969,40
996,40
1023,40
1050,40
1078,40
19,67
46,67
73,67
100,67
127,67
154,67
181,67
209,67
236,67
263,67
290,67
317,67
344,67
372,67
399,67
426,67
453,67
480,67
507,67
534,67
562,67
589,67
616,67
643,67
670,67
697,67
725,67
752,67
779,67
806,67
833,67
860,67
887,67
915,67
942,67
969,67
996,67
1023,67
1050,67
1078,67
19,93
46,93
73,93
100,93
127,93
154,93
181,93
209,93
236,93
263,93
290,93
317,93
344,93
372,93
399,93
426,93
453,93
480,93
507,93
534,93
562,93
589,93
616,93
643,93
670,93
697,93
725,93
752,93
779,93
806,93
833,93
860,93
887,93
915,93
942,93
969,93
996,93
1023,93
1050,93
1078,93
19,120
46,120
73,120
100,120
127,120
154,120
181,120
209,120
236,120
263,120
290,120
317,120
344,120
372,120
399,120
426,120
453,120
480,120
507,120
534,120
562,120
589,120
616,120
643,120
670,120
697,120
725,120
752,120
779,120
806,120
833,120
860,120
887,120
915,120
942,120
969,120
996,120
1023,120
1050,120
1078,120
19,146
46,146
73,146
100,146
127,146
154,146
181,146
209,146
236,146
263,146
290,146
317,146
344,146
372,146
399,146
426,146
453,146
480,146
507,146
534,146
562,146
589,146
616,146
643,146
670,146
697,146
725,146
752,146
779,146
806,146
833,146
860,146
887,146
915,146
942,146
969,146
996,146
1023,146
1050,146
1078,146
19,173
46,173
73,173
100,173
127,173
154,173
181,173
209,173
236,173
263,173
290,173
317,173
344,173
372,173
399,173
426,173
453,173
480,173
507,173
534,173
562,173
589,173
616,173
643,173
670,173
697,173
725,173
752,173
779,173
806,173
833,173
860,173
887,173
915,173
942,173
969,173
996,173
1023,173
1050,173
1078,173
19,200
46,200
73,200
100,200
127,200
154,200
181,200
209,200
236,200
263,200
290,200
317,200
344,200
372,200
399,200
426,200
453,200
480,200
507,200
534,200
562,200
589,200
616,200
643,200
670,200
697,200
725,200
752,200
779,200
806,200
833,200
860,200
887,200
915,200
942,200
969,200
996,200
1023,200
1050,200
1078,200
19,226
46,226
73,226
100,226
127,226
154,226
181,226
209,226
236,226
263,226
290,226
317,226
344,226
372,226
399,226
426,226
453,226
480,226
507,226
534,226
562,226
589,226
616,226
643,226
670,226
697,226
725,226
752,226
779,226
806,226
833,226
860,226
887,226
915,226
942,226
969,226
996,226
1023,226
1050,226
1078,226
19,253
46,253
73,253
100,253
127,253
154,253
181,253
209,253
236,253
263,253
290,253
317,253
344,253
372,253
399,253
426,253
453,253
480,253
507,253
534,253
562,253
589,253
616,253
643,253
670,253
697,253
725,253
752,253
779,253
806,253
833,253
860,253
887,253
915,253
942,253
969,253
996,253
1023,253
1050,253
1078,253
19,279
46,279
73,279
100,279
127,279
154,279
181,279
209,279
236,279
263,279
290,279
317,279
344,279
372,279
399,279
426,279
453,279
480,279
507,279
534,279
562,279
589,279
616,279
643,279
670,279
697,279
725,279
752,279
779,279
806,279
833,279
860,279
887,279
915,279
942,279
969,279
996,279
1023,279
1050,279
1078,279
19,306
46,306
73,306
100,306
127,306
154,306
181,306
209,306
236,306
263,306
290,306
317,306
344,306
372,306
399,306
426,306
453,306
480,306
507,306
534,306
562,306
589,306
616,306
643,306
670,306
697,306
725,306
752,306
779,306
806,306
833,306
860,306
887,306
915,306
942,306
969,306
996,306
1023,306
1050,306
1078,306
19,333
46,333
73,333
100,333
127,333
154,333
181,333
209,333
236,333
263,333
290,333
317,333
344,333
372,333
399,333
426,333
453,333
480,333
507,333
534,333
562,333
589,333
616,333
643,333
670,333
697,333
725,333
752,333
779,333
806,333
833,333
860,333
887,333
915,333
942,333
969,333
996,333
1023,333
1050,333
1078,333
19,359
46,359
73,359
100,359
127,359
154,359
181,359
209,359
236,359
263,359
290,359
317,359
344,359
372,359
399,359
426,359
453,359
480,359
507,359
534,359
562,359
589,359
616,359
643,359
670,359
697,359
725,359
752,359
779,359
806,359
833,359
860,359
887,359
915,359
942,359
969,359
996,359
1023,359
1050,359
1078,359
19,386
46,386
73,386
100,386
127,386
154,386
181,386
209,386
236,386
263,386
290,386
317,386
344,386
372,386
399,386
426,386
453,386
480,386
507,386
534,386
562,386
589,386
616,386
643,386
670,386
697,386
725,386
752,386
779,386
806,386
833,386
860,386
887,386
915,386
942,386
969,386
996,386
1023,386
1050,386
1078,386
19,412
46,412
73,412
100,412
127,412
154,412
181,412
209,412
236,412
263,412
290,412
317,412
344,412
372,412
399,412
426,412
453,412
480,412
507,412
534,412
562,412
589,412
616,412
643,412
670,412
697,412
725,412
752,412
779,412
806,412
833,412
860,412
887,412
915,412
942,412
969,412
996,412
1023,412
1050,412
1078,412
19,439
46,439
73,439
100,439
127,439
154,439
181,439
209,439
236,439
263,439
290,439
317,439
344,439
372,439
399,439
426,439
453,439
480,439
507,439
534,439
562,439
589,439
616,439
643,439
670,439
697,439
725,439
752,439
779,439
806,439
833,439
860,439
887,439
915,439
942,439
969,439
996,439
1023,439
1050,439
1078,439
19,466
46,466
73,466
100,466
127,466
154,466
181,466
209,466
236,466
263,466
290,466
317,466
344,466
372,466
399,466
426,466
453,466
480,466
507,466
534,466
562,466
589,466
616,466
643,466
670,466
697,466
725,466
752,466
779,466
806,466
833,466
860,466
887,466
915,466
942,466
969,466
996,466
1023,466
1050,466
1078,466
19,492
46,492
73,492
100,492
127,492
154,492
181,492
209,492
236,492
263,492
290,492
317,492
344,492
372,492
399,492
426,492
453,492
480,492
507,492
534,492
562,492
589,492
616,492
643,492
670,492
697,492
725,492
752,492
779,492
806,492
833,492
860,492
887,492
915,492
942,492
969,492
996,492
1023,492
1050,492
1078,492
19,519
46,519
73,519
100,519
127,519
154,519
181,519
209,519
236,519
263,519
290,519
317,519
344,519
372,519
399,519
426,519
453,519
480,519
507,519
534,519
562,519
589,519
616,519
643,519
670,519
697,519
725,519
752,519
779,519
806,519
833,519
860,519
887,519
915,519
942,519
969,519
996,519
1023,519
1050,519
1078,519
19,545
46,545
73,545
100,545
127,545
154,545
181,545
209,545
236,545
263,545
290,545
317,545
344,545
372,545
399,545
