X,Y,Point_Index
126,425,524
181,350,525
181,350,526
184,359,527
209,359,528
236,359,529
263,359,530
290,359,531
317,359,532
344,359,533
372,359,534
399,359,535
426,359,536
453,359,537
480,359,538
507,359,539
534,359,540
562,359,541
589,359,542
616,359,543
643,359,544
670,359,545
697,359,546
700,366,547
712,336,548
712,336,549
820,428,550
821,428,551
881,421,552
891,419,553
926,410,554
962,406,555
976,401,556
997,401,557
1031,397,558
1057,390,559
1078,385,560
62,445,561
62,445,562
82,441,563
126,425,564
131,424,565
165,418,566
189,378,567
210,386,568
236,386,569
263,386,570
290,386,571
317,386,572
344,386,573
372,386,574
399,386,575
426,386,576
453,386,577
480,386,578
507,386,579
534,386,580
562,386,581
589,386,582
616,386,583
643,386,584
670,386,585
697,386,586
712,386,587
724,404,588
796,438,589
820,428,590
821,428,591
879,422,592
891,419,593
919,412,594
953,410,595
976,401,596
997,401,597
1024,399,598
1050,392,599
1078,386,600
62,445,601
62,445,602
82,441,603
108,438,604
131,424,605
155,420,606
181,417,607
209,412,608
236,412,609
263,412,610
290,412,611
317,412,612
344,412,613
372,412,614
399,412,615
426,412,616
453,412,617
480,412,618
506,412,619
537,412,620
562,412,621
589,412,622
616,412,623
643,412,624
670,412,625
697,412,626
723,408,627
729,414,628
791,440,629
817,429,630
825,429,631
869,429,632
891,419,633
915,415,634
940,415,635
969,412,636
992,409,637
1018,402,638
1046,395,639
1072,388,640
53,457,641
58,450,642
73,443,643
103,443,644
127,439,645
154,439,646
181,439,647
209,439,648
236,439,649
263,439,650
290,439,651
317,439,652
344,439,653
372,438,654
396,433,655
425,428,656
445,424,657
476,418,658
506,412,659
544,435,660
562,439,661
589,439,662
616,439,663
643,439,664
670,439,665
697,439,666
732,447,667
757,452,668
779,443,669
807,439,670
833,440,671
860,439,672
887,439,673
915,438,674
937,430,675
961,419,676
996,458,677
1029,454,678
1057,451,679
1063,453,680
19,479,681
46,472,682
73,466,683
99,459,684
125,452,685
162,466,686
181,466,687
209,466,688
236,466,689
263,466,690
290,466,691
317,466,692
329,467,693
369,439,694
394,434,695
420,429,696
445,424,697
471,419,698
548,451,699
551,461,700
562,466,701
589,466,702
616,466,703
643,466,704
670,466,705
697,466,706
725,468,707
753,466,708
779,466,709
806,466,710
833,466,711
860,465,712
887,469,713
915,467,714
942,466,715
969,466,716
996,466,717
1023,466,718
1050,466,719
1062,465,720
19,480,721
42,475,722
68,468,723
94,461,724
113,456,725
167,481,726
185,485,727
211,490,728
236,490,729
263,492,730
290,492,731
317,492,732
334,494,733
335,500,734
389,435,735
415,430,736
440,425,737
466,420,738
556,479,739
558,486,740
562,492,741
589,492,742
616,492,743
643,492,744
670,492,745
697,492,746
725,492,747
752,492,748
779,492,749
806,492,750
833,492,751
860,492,752
887,492,753
915,492,754
941,485,755
969,480,756
991,473,757
1020,471,758
1050,467,759
1062,465,760
19,480,761
35,477,762
61,470,763
87,463,764
167,481,765
167,481,766
185,485,767
233,517,768
237,519,769
262,519,770
290,519,771
317,519,772
339,521,773
340,527,774
341,532,775
342,537,776
435,426,777
561,495,778
564,507,779
565,511,780
567,518,781
589,519,782
616,519,783
643,519,784
670,519,785
697,519,786
725,519,787
752,517,788
778,519,789
806,518,790
832,519,791
849,516,792
885,496,793
919,494,794
927,490,795
969,480,796
984,476,797
1020,471,798
1050,467,799
1062,465,800
19,480,801
35,477,802
49,473,803
75,466,804
167,481,805
174,483,806
221,575,807
232,562,808
240,553,809
262,543,810
290,545,811
317,545,812
343,545,813
344,548,814
345,554,815
346,559,816
347,564,817
567,518,818
569,525,819
571,532,820
574,542,821
589,545,822
616,545,823
643,545,824
670,545,825
697,545,826
725,545,827
752,543,828
777,531,829
801,527,830
823,525,831
846,518,832
849,516,833
903,496,834
920,494,835
960,481,836
973,480,837
1020,471,838
1050,467,839
1062,465,840
50,623,841
50,623,842
60,624,843
79,631,844
105,640,845
218,586,846
218,586,847
221,575,848
236,572,849
258,571,850
290,572,851
317,572,852
344,572,853
349,575,854
350,581,855
351,586,856
482,666,857
504,660,858
576,550,859
578,557,860
581,567,861
589,572,862
616,572,863
643,572,864
670,572,865
697,572,866
725,572,867
754,572,868
760,570,869
816,529,870
816,529,871
841,520,872
849,516,873
903,496,874
920,494,875
941,485,876
973,480,877
1020,471,878
1050,467,879
1053,467,880
50,623,881
50,623,882
60,624,883
84,633,884
117,643,885
165,645,886
218,592,887
218,592,888
234,600,889
263,598,890
290,598,891
317,598,892
344,598,893
354,602,894
355,608,895
356,613,896
475,668,897
500,661,898
522,655,899
547,648,900
588,592,901
590,598,902
616,598,903
643,598,904
670,598,905
697,598,906
725,598,907
748,596,908
751,606,909
761,625,910
816,529,911
841,520,912
846,518,913
903,496,914
920,494,915
920,494,916
973,480,917
1020,471,918
1020,471,919
1053,467,920
49,625,921
49,625,922
70,628,923
93,636,924
117,643,925
165,645,926
182,646,927
215,639,928
234,625,929
263,625,930
290,625,931
317,625,932
344,625,933
359,629,934
359,629,935
439,678,936
464,671,937
493,663,938
518,656,939
540,650,940
565,643,941
597,624,942
616,625,943
643,625,944
670,625,945
697,625,946
725,625,947
752,625,948
761,625,949
765,642,950
774,661,951
781,673,952
846,518,953
846,518,954
920,494,955
920,494,956
973,480,957
973,480,958
1020,471,959
1053,467,960
49,654,961
49,654,962
73,652,963
100,652,964
127,652,965
152,653,966
182,653,967
209,652,968
236,652,969
263,652,970
290,652,971
317,652,972
344,652,973
363,652,974
365,661,975
432,680,976
462,672,977
482,666,978
511,658,979
534,652,980
562,652,981
589,652,982
616,652,983
643,652,984
670,652,985
697,652,986
725,652,987
752,652,988
774,661,989
779,670,990
781,673,991
781,673,992
781,673,993
791,703,994
791,703,995
920,494,996
973,480,997
973,480,998
1020,471,999
1053,467,1000
47,677,1001
47,677,1002
73,678,1003
100,678,1004
127,678,1005
154,678,1006
181,678,1007
209,678,1008
236,678,1009
263,678,1010
290,678,1011
317,678,1012
344,678,1013
368,678,1014
403,688,1015
428,681,1016
453,678,1017
480,678,1018
507,678,1019
534,678,1020
562,678,1021
589,678,1022
616,678,1023
643,678,1024
670,678,1025
697,678,1026
725,678,1027
752,678,1028
779,678,1029
782,678,1030
791,703,1031
791,703,1032
791,703,1033
791,703,1034
791,703,1035
791,703,1036
920,494,1037
973,480,1038
1020,471,1039
1053,467,1040
56,696,1041
56,696,1042
73,705,1043
100,705,1044
127,705,1045
154,705,1046
181,705,1047
209,705,1048
236,705,1049
263,705,1050
290,705,1051
317,705,1052
344,705,1053
372,705,1054
399,705,1055
426,705,1056
453,705,1057
480,705,1058
507,705,1059
534,705,1060
562,705,1061
589,705,1062
616,705,1063
643,705,1064
670,705,1065
697,705,1066
724,704,1067
752,706,1068
779,705,1069
791,703,1070
791,703,1071
791,703,1072
791,703,1073
791,703,1074
791,703,1075
791,703,1076
833,829,1077
833,829,1078
1020,471,1079
1053,467,1080
56,696,1081
72,724,1082
73,731,1083
100,731,1084
127,731,1085
154,731,1086
179,730,1087
209,731,1088
236,731,1089
263,731,1090
290,731,1091
317,731,1092
344,731,1093
372,731,1094
399,731,1095
426,731,1096
453,731,1097
480,731,1098
507,731,1099
534,731,1100
562,731,1101
589,731,1102
616,731,1103
643,731,1104
670,731,1105
697,731,1106
725,730,1107
752,731,1108
779,732,1109
786,737,1110
793,751,1111
795,756,1112
798,763,1113
798,763,1114
833,829,1115
833,829,1116
833,829,1117
833,829,1118
833,829,1119
833,829,1120
77,744,1121
77,744,1122
82,758,1123
100,758,1124
127,758,1125
155,761,1126
181,758,1127
209,758,1128
236,758,1129
263,757,1130
291,756,1131
317,758,1132
344,758,1133
372,758,1134
399,758,1135
426,758,1136
453,758,1137
480,758,1138
507,758,1139
534,758,1140
562,758,1141
589,758,1142
616,758,1143
643,758,1144
670,758,1145
697,758,1146
725,758,1147
752,758,1148
779,758,1149
798,763,1150
798,763,1151
798,763,1152
811,803,1153
833,829,1154
833,829,1155
833,829,1156
833,829,1157
833,829,1158
837,839,1159
837,839,1160
82,763,1161
84,767,1162
86,770,1163
95,770,1164
119,763,1165
155,785,1166
